Date,Swap,Margin trading,Mint GLP,Burn GLP,Liquidation,Cumulative
2021-08-31,0.3993207221839756,0.15325632895652436,0.11830379472938438,0.20615987874980843,0,0.8770407246196927
2021-09-01,866.3653394617692,101.84884535822437,4843.226666922876,0.033712636391344905,0,5812.35160510388
2021-09-02,854.0027615327112,741.7088591291415,1610.5277870404552,134.26496535795602,0,9152.855978164143
2021-09-03,1388.2413627509193,3127.2668508010174,22.38040372064842,0,0,13690.744595436729
2021-09-04,219.02473282881212,768.7568205922685,82.88375927662874,0,0,14761.409908134438
2021-09-05,277.12100064516943,784.1033674394979,106.08863660238313,0,0,15928.722912821488
2021-09-06,1349.3862077390515,3838.8124319445947,1151.8772636885647,0,0,22268.7988161937
2021-09-07,1761.144153580532,20100.502349641236,247.40079211494967,2.908434458608491,37.011879818433954,44417.76642580746
2021-09-08,1300.953484685061,27040.592004490096,356.28790034659164,0,0,73115.59981532922
2021-09-09,962.626485685162,3250.907801441334,728.5058796941137,63.255236787923096,0,78120.89521893775
2021-09-10,2727.0653955995954,5269.767600213821,627.193706036364,138.1985073316572,1.4936670789475102,86884.61409519814
2021-09-11,5614.512789381819,3021.007293867584,11205.137498931887,180.28142722916812,0,106905.5531046086
2021-09-12,7784.362031910867,11660.5046654141,7554.345532876458,0,9.645191229883494,133914.4105260399
2021-09-13,5108.4764965919685,11641.213574512294,5340.168901330106,0,2.882167079258579,156007.1516655535
2021-09-14,4223.257046016759,7410.720191916319,6489.227618149719,0.28081484818915253,0,174130.6373364845
2021-09-15,9937.026637708774,10463.040458609106,4883.512127405019,260.19075538838905,2.9205107049092476,199677.3278263007
2021-09-16,9217.219166477267,13251.960457126108,7957.543261443252,3027.172964625294,0.21267481145696365,233131.43635078406
2021-09-17,6695.541355787452,16550.377386543772,8383.103028007,370.93951085518444,1.3208073578607582,265132.71843933535
2021-09-18,8971.659017588649,19261.260991970357,3277.8193533076274,1195.1584550124219,3.1678072376817,297841.7840644521
2021-09-19,3576.4359936215333,36397.75878525273,7526.301629879317,1334.824752607911,0,346677.1052258136
2021-09-20,21101.256699788206,81631.59365771343,5671.650860008476,4185.894250997382,94.61324323277222,459362.11393755383
2021-09-21,23260.701787804977,79008.54610191636,2974.7380693981695,2162.9183587690036,2114.9153841888183,568883.9336396311
2021-09-22,42969.47703742967,46173.151834058306,1888.7704698892992,54.95399173491818,1234.269147230305,661204.5561199737
2021-09-23,12273.896591868715,11234.685992053835,2729.0229187232853,1443.5253741163122,0,688885.6869967357
2021-09-24,14074.607133205005,47037.10350070852,467.46028921908453,1143.7440655987723,2.2318789142009337,751610.8338643813
2021-09-25,6029.089456706803,27210.722345124686,527.8036296821322,0,0,785378.4492958949
2021-09-26,22529.391977842333,22222.866075150825,1499.5082886109708,80.13600836688622,0.9917178558353044,831711.3433637219
2021-09-27,12863.966159387886,23312.00303022367,3339.639151845691,1720.9323189790844,0.5923702051513828,872948.4763943633
2021-09-28,41097.80832548961,25466.060504566783,7475.207930987727,2300.8462797753245,2.9142114376081736,949291.3136466204
2021-09-29,10288.586632438306,39422.05731896796,1676.26566482238,385.45444897699247,3.2806625739467563,1001066.9583743999
2021-09-30,8830.378929071987,18466.50140699872,711.3994867664725,339.81909860585864,0,1029415.0572958429
2021-10-01,22111.47307085785,27201.5653809645,1801.9106373670188,1656.6829813002864,0.6717060718074208,1082187.3610724043
2021-10-02,11098.641875878027,16522.947297407205,4557.393886064117,73.01200877934212,5.7107115264334425,1114445.0668520594
2021-10-03,7771.522205099593,12350.669441196602,1954.1882444746307,84.76875601843908,0,1136606.2154988488
2021-10-04,12520.923795409504,41607.38413832104,806.0005712836755,306.3858880895237,0.06277809934545076,1191846.972670052
2021-10-05,15022.236080704915,25827.85512440269,1442.785063746092,5.412654692074493,8.828461219265591,1234154.090054817
2021-10-06,38296.95401216645,30844.919299594927,298.07671958347737,27.202204957362042,7.084441102477285,1303628.3267322218
2021-10-07,19491.340776011013,27297.04703434347,823.2750223295632,37.95564957869563,0.5999999999985448,1351278.5452144844
2021-10-08,15192.307417374115,14716.556806165907,166.62816727187277,758.3882343682625,0.15955753912385262,1382112.5853972037
2021-10-09,8863.07530387537,11946.177357650038,180.73738376108662,1.6944824545358037,0,1403104.2699249447
2021-10-10,16507.841485883233,35461.58757762173,581.3268343697397,100.50606848170318,0,1455755.531891301
2021-10-11,22362.546063099508,38894.26729247365,110.325886549577,34.625798635654895,0.8565212643734412,1517158.1534533238
2021-10-12,15434.394374606485,34233.46841801451,1545.908496698545,964.042742120691,0,1569335.967484764
2021-10-13,18821.551192786865,22957.767030614647,467.897293167718,60.07230483127174,0,1611643.2553061645
2021-10-14,31966.77634270154,50770.04438508609,208.04645874475483,37.63543239923868,249.37354534647602,1694875.1314704425
2021-10-15,14812.19734972012,66083.15191983953,267.50235786641787,600.7910850818159,0.39900899132771883,1776639.1731919418
2021-10-16,14056.636652709687,21991.036216949495,300.5539244760582,390.76468480623373,16.17379996694217,1813394.3384708501
2021-10-17,13885.596206747512,100088.57244903505,69.09207311764894,69.11574389049916,2.7713147426838987,1927509.4862583836
2021-10-18,14309.347595803034,58689.33274811156,75.53365278909999,79.01910478848069,611.9040888880118,2001274.6234487637
2021-10-19,11499.207325906193,46492.18891867041,171.03362290579997,362.86003221299364,0,2059799.9133484592
2021-10-20,11857.488031172654,108606.59153427501,669.5675686871144,2.0514928330207356,5.59189436250017,2180941.2038697894
2021-10-21,49058.733185651305,114380.88736448162,60195.825486095775,0.2907468009622381,24.590884453224135,2404601.531537272
